MY,Midwest Airlines (Egypt),,Egypt
MZ,Merpati Nusantara Airlines,MERPATI,Indonesia
N2,Kabo Air,KABO,Nigeria
N3,Omskavia Airline,OMSK,Russia
N4,Regionalia México,,Mexico
N5,Skagway Air Service,SKAGWAY AIR,United States
N6,Nuevo Continente,AERO CONTINENTE,Peru
N7,National Airlines,RED ROCK,United States
N8,National Air Cargo,,United States
N9,All Europe,,United Kingdom
NA,National Airlines,NATIONAL,United States
NB,Sterling Airlines,STERLING,Denmark
NC,Northern Air Cargo,YUKON,United States
NE,SkyEurope,RELAX,Slovakia
NF,Air Vanuatu,AIR VAN,Vanuatu
NG,Lauda Air,LAUDA AIR,Austria
NH,All Nippon Airways,ALL NIPPON,Japan
NI,Portugalia,PORTUGALIA,Portugal
NJ,Nordic Global Airlines,Nordic Global,Finland
NK,Spirit Airlines,SPIRIT WINGS,United States
NL,Shaheen Air International,SHAHEEN AIR,Pakistan
NM,Mount Cook Airlines,MOUNTCOOK,New Zealand
NN,VIM Airlines,MOV AIR,Russia
NO,Neos,MOONFLOWER,Italy
NP,Nile Air,NILEBIRD,Egypt
NQ,Air Japan,AIR JAPAN,Japan
NR,Pamir Airways,PAMIR,Afghanistan
NT,Binter Canarias,,Spain
NU,Japan Transocean Air,JAI OCEAN,Japan
NV,Naka Nihon Airlines Service,,Japan
NW,Northwest Airlines,NORTHWEST,United States
NX,Air Macau,AIR MACAO,Macao
NY,Air Iceland,FAXI,Iceland
NZ,Air New Zealand,NEW ZEALAND,New Zealand
O1,Orbit Airlines Azerbaijan,Orbitaz,Azerbaijan
O6,Oceanair,OCEANAIR,Brazil
O7,Ozjet Airlines,AUSJET,Australia
O8,Oasis Hong Kong Airlines,OASIS,Hong Kong
OA,Olympic Airlines,OLYMPIC,Greece
OB,Astrakhan Airlines,AIR ASTRAKHAN,Russia
OD,Zuliana de Aviacion,,Venezuela
OE,Asia Overnight Express,ASIA OVERNIGHT,Philippines
OF,Air Finland,AIR FINLAND,Finland
OH,Comair,COMAIR,United States
OI,Orchid Airlines,,Australia
OJ,Overland Airways,OVERLAND,Nigeria
OK,Czech Airlines,CSA-LINES,Czech Republic
OL,Ostfriesische Lufttransport,OLTRA,Germany
OM,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
ON,Our Airline,OUR AIRLINE,Nauru
OO,SkyWest,SKYWEST,United States
OP,Chalk's Ocean Airways,CHALKS,United States
OQ,Chongqing Airlines,CHONG QING,China
OR,Arkefly,ARKEFLY,Netherlands
OS,Austrian Airlines,AUSTRIAN,Austria
OT,Aeropelican Air Services,PELICAN,Australia
OU,Croatia Airlines,CROATIA,Croatia
OV,Estonian Air,ESTONIAN,Estonia
OW,Executive Airlines,EXECUTIVE EAGLE,United States
OX,Orient Thai Airlines,ORIENT THAI,Thailand
OY,Omni Air International,OMNI-EXPRESS,United States
OZ,Ozark Air Lines,OZARK,United States
P5,AeroRep,AEROREPUBLICA,Colombia
P7,Russian Sky Airlines,RADUGA,Russia
P8,Pantanal Linhas Aéreas,PANTANAL,Brazil
P9,Perm Airlines,PERM AIR,Russia
PA,Parmiss Airlines (IPV),IPV,Iran
PC,Pegasus Airlines,SUNTURK,Turkey
PD,Porter Airlines,PORTER AIR,Canada
PE,Air Europe,AIR EUROPE,Italy
PF,Palestinian Airlines,PALESTINIAN,Egypt
PG,Bangkok Airways,BANGKOK AIR,Thailand
PH,Polynesian Airlines,POLYNESIAN,Samoa
PI,Sun Air (Fiji),SUNFLOWER,Fiji
PJ,Air Saint Pierre,,France
PK,Pakistan International Airlines,PAKISTAN,Pakistan
PL,Airstars,MOROZOV,Russia
PM,Tropic Air,TROPISER,Belize
PN,West Air China,WEST CHINA,China
PO,Polar Air Cargo,POLAR,United States
PP,Air Indus,AIPL,Pakistan
PQ,Panafrican Airways,PANWAYS,Ivory Coast
PR,Philippine Airlines,PHILIPPINE,Philippines
PS,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
PT,West Air Sweden,AIR SWEDEN,Sweden
PU,PLUNA,PLUNA,Uruguay
PV,PAN Air,SKYJET,Spain
PW,Precision Air,PRECISION AIR,Tanzania
PX,Air Niugini,NUIGINI,Papua New Guinea
PY,Surinam Airways,SURINAM,Suriname
PZ,TAM Mercosur,PARAGUAYA,Paraguay
Q3,Zambian Airways,ZAMBIANA,Zambia
Q4,SOCHI AIR EXPRESS,ADLER EXPRESS,Russia
Q5,40-Mile Air,MILE-AIR,United States
Q6,Aero Condor Peru,CONDOR-PERU,Peru
Q8,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines
Q9,Arik Niger,,Niger
QB,Georgian National Airlines,NATIONAL,Georgia
QC,Air Corridor,AIR CORRIDOR,Mozambique
QD,Dobrolet,DOBROLET,Russia
QE,Crossair Europe,Cigogne,Switzerland
QF,Qantas,QANTAS,Australia
QH,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
QI,Cimber Air,CIMBER,Denmark
QK,Air Canada Jazz,JAZZ,Canada
QL,Aero Lanka,AERO LANKA,Sri Lanka
QM,Air Malawi,MALAWI,Malawi
QN,Air Armenia,AIR ARMENIA,Armenia
QO,Origin Pacific Airways,ORIGIN,New Zealand
QQ,Reno Air,RENO AIR,United States
QR,Qatar Airways,QATARI,Qatar
QS,Travel Service,SKYTRAVEL,Czech Republic
QT,TAMPA,TAMPA,Colombia
QU,East African,CRANE,Uganda
QV,Lao Airlines,LAO,Lao Peoples Democratic Republic
QW,Blue Wings,BLUE WINGS,Germany
QX,Horizon Air,HORIZON AIR,United States
QY,European Air Transport,EUROTRANS,Belgium
QZ,Indonesia AirAsia,WAGON AIR,Indonesia
R0,Royal Airlines,ROYAL PAKISTAN,Pakistan
R1,Royal Southern Airlines.,RSA,Colombia
R2,Orenburg Airlines,ORENBURG,Russia
R3,Aircompany Yakutia,AIR YAKUTIA,Russia
R5,Malta Air Charter,MALTA CHARTER,Malta
R7,Aserca Airlines,AROSCA,Venezuela
R8,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
R9,Camai Air,AIR CAMAI,United States
RA,Royal Nepal Airlines,ROYAL NEPAL,Nepal
RB,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic
RC,Atlantic Airways,FAROELINE,Faroe Islands
RD,Ryan International Airlines,RYAN INTERNATIONAL,United States
RE,Aer Arann,AER ARANN,Ireland
RF,Florida West International Airways,FLO WEST,United States
RG,VRG Linhas Aereas,VARIG,Brazil
RH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia
RI,Mandala Airlines,MANDALA,Indonesia
RJ,Royal Jordanian,JORDANIAN,Jordan
RK,Royal Khmer Airlines,KHMER AIR,Cambodia
RL,Royal Falcon,,Jordan
RM,Rainbow Air US,Rainbow Air,United States
RN,Rainbow Air (RAI),Rainbow,United States
RO,Tarom,TAROM,Romania
RP,Chautauqua Airlines,CHAUTAUQUA,United States
RQ,Kam Air,KAMGAR,Afghanistan
RR,Royal Air Force,RAFAIR,United Kingdom
RS,Sky Regional,Sky Regional,Canada
RU,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands
RV,Caspian Airlines,CASPIAN,Iran
RW,Republic Airlines,BRICKYARD,United States
RX,Rainbow Air Polynesia,Rainbow Air,United States
RY,Rainbow Air Canada,Rainbow CAN,Canada
S0,Spike Airlines,Spike Air,United States
S1,Serbian Airlines,,Serbia
S2,Air Sahara,SAHARA,India
S3,Santa Barbara Airlines,SANTA BARBARA,Venezuela
S4,SATA International,AIR AZORES,Portugal
S5,Trast Aero,TRAST AERO,Kyrgyzstan
S7,S7 Airlines,SIBERIAN AIRLINES,Russia
S8,Snowbird Airlines,,Finland
S9,East African Safari Air,DUMA,Kenya
SA,South African Airways,SPRINGBOK,South Africa
SB,Air Caledonie International,AIRCALIN,France
SC,Shandong Airlines,SHANDONG,China
SD,Sudan Airways,SUDANAIR,Sudan
SE,XL Airways France,STARWAY,France
SF,Tassili Airlines,TASSILI AIR,Algeria
SG,Spicejet,SPICEJET,India
SH,Sharp Airlines,SHARP,Australia
SI,Skynet Airlines,BLUEJET,Ireland
SJ,Sriwijaya Air,SRIWIJAYA,Indonesia
SK,Scandinavian Airlines System,SCANDINAVIAN,Sweden
SL,Rio Sul Servi,RIO SUL,Brazil
SM,Swedline Express,Starline,Sweden
SN,Brussels Airlines,BEE-LINE,Belgium
SO,Superior Aviation,SPEND AIR,United States
SP,SATA Air Acores,SATA,Portugal
SQ,Singapore Airlines Cargo,SINGCARGO,Singapore
SR,Swissair,Swissair,Switzerland
SS,Corsairfly,CORSAIR,France
ST,Germania,GERMANIA,Germany
SU,Aeroflot Russian Airlines,AEROFLOT,Russia
SV,Saudi Arabian Airlines,SAUDIA,Saudi Arabia
SW,Air Namibia,NAMIBIA,Namibia
SX,Starling Airlines Spain,STARLING,Spain
SY,Sun Country Airlines,SUN COUNTRY,United States
&T,Tom\\\\'s & co airliners,T&,France
T1,TROPICAL LINHAS AEREAS,,Brazil
T2,Thai Air Cargo,THAI CARGO,Thailand
T3,Eastern Airways,EASTFLIGHT,United Kingdom
T4,Hellas Jet,HELLAS JET,Greece
T5,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan
T6,Trans Pas Air,,United States
T7,Twin Jet,TWINJET,France
T9,TransMeridian Airlines,TRANS-MERIDIAN,United States
TA,Grupo TACA,TACA-COSTARICA,Costa Rica
TB,TUI Airlines Belgium,BEAUTY,Belgium
TC,Air Tanzania,TANZANIA,Tanzania
TD,Tulip Air,TULIPAIR,Netherland
TE,FlyLal,LITHUANIA AIR,Lithuania
TF,Malmö Aviation,Scanwings,Sweden
TG,Thai Airways International,THAI,Thailand
TH,Transmile Air Services,TRANSMILE,Malaysia
TI,TransHolding,,Brazil
TJ,T.J. Air,T.J. Air,United States
TK,Turkish Airlines,TURKAIR,Turkey
TL,Trans Mediterranean Airlines,TANGO LIMA,Lebanon
TN,Air Tahiti Nui,TAHITI AIRLINES,France
TO,Transavia France,FRENCH SUN,France
TP,TAP Portugal,AIR PORTUGAL,Portugal
TQ,Texas Wings,TXW,United States
TR,Tiger Airways,GO CAT,Singapore
TS,Air Transat,TRANSAT,Canada
TT,Tiger Airways Australia,GO CAT,Australia
TU,Tunisair,TUNAIR,Tunisia
TV,Virgin Express,VIRGIN EXPRESS,Belgium
TW,Tway Airlines,TWAY AIR,South Korea
TX,Air Caraïbes,FRENCH WEST,France
TY,Iberworld,,Spain
TZ,Scoot,,Singapore
U1,Aviabus,,Russia
U2,easyJet,EASY,United Kingdom
U3,Avies,AVIES,Estonia
U4,PMTair,MULTITRADE,Cambodia
U5,USA3000 Airlines,GETAWAY,United States
U6,Ural Airlines,SVERDLOVSK AIR,Russia
U7,USA Jet Airlines,JET USA,United States
U8,Armavia,ARMAVIA,Armenia
U9,Tatarstan Airlines,TATARSTAN,Russia
UA,United Airlines,UNITED,United States
UB,Myanma Airways,UNIONAIR,Myanmar
UD,Hex'Air,HEX AIRLINE,France
UE,Transeuropean Airlines,TRANSEURLINE,Russia
UF,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
UG,Tuninter,,Tunisia
UI,Eurocypria Airlines,EUROCYPRIA,Cyprus
UJ,AlMasria Universal Airlines,ALMASRIA,Egypt
UK,buzz,\N,\N
UL,SriLankan Airlines,SRILANKAN,Sri Lanka
UM,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
UN,Transaero Airlines,TRANSOVIET,Russia
UO,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong SAR of China
UP,Bahamasair,BAHAMAS,Bahamas
UQ,Skyjet Airlines,SKYJET,Uganda
US,US Airways,U S AIR,United States
UT,UTair Aviation,UTAIR,Russia
UU,Air Austral,REUNION,France
UX,Air Europa,EUROPA,Spain
UY,Cameroon Airlines,CAM-AIR,Cameroon
UZ,El-Buraq Air Transport,BURAQAIR,Libya
V0,Conviasa,CONVIASA,Venezuela
V1,VIA Líneas Aéreas,,Argentina
V2,Vision Airlines (V2),RUBY,United States
V3,Carpatair,CARPATAIR,Romania
V4,Reem Air,REEM AIR,Kyrgyzstan
V5,Royal Aruban Airline,ROYAL ARUBAN,Aruba
V7,VOLOTEA Airways,,Spain
V8,ATRAN Cargo Airlines,ATRAN,Russian Federation
V9,Star1 Airlines,,Lithuania
VA,Virgin Australia,VIRGIN,Australia
VC,Voyageur Airways,VOYAGEUR,Canada
VD,SwedJet Airways,BLACKBIRD,Sweden
VE,Volare Airlines,VOLA,Italy
VF,Valuair,VALUAIR,Singapore
VG,VLM Airlines,RUBENS,Belgium
VH,Virgin Pacific,,Fiji
VI,Volga-Dnepr Airlines,VOLGA-DNEPR,Russia
VJ,Royal Air Cambodge,,Cambodia
VK,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
VL,Air VIA,,Bulgaria
VM,Viaggio Air,VIAGGIO,Bulgaria
VN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam
VO,Tyrolean Airways,TYROLEAN,Austria
VP,VASP,VASP,Brazil
VQ,Viking Hellas,DELPHI,Greece
VR,TACV,CABOVERDE,Portugal
VS,Virgin Atlantic Airways,VIRGIN,United Kingdom
VT,Air Tahiti,AIR TAHITI,French Polynesia
VU,Air Ivoire,AIRIVOIRE,Ivory Coast
VV,Aerosvit Airlines,AEROSVIT,Ukraine
VW,Aeromar,TRANS-AEROMAR,Mexico
VX,Virgin America,REDWOOD,United States
VY,Vueling Airlines,VUELING,Spain
VZ,MyTravel Airways,KESTREL,United Kingdom
W1,World Experience Airline,WEA,Canada
W2,Canadian Western Airlines,CANADIAN WESTERN,Canada
W3,World Scale Airlines,,United States
W4,AeroWorld ,sovet,Russia
W5,Mahan Air,MAHAN AIR,Iran
W6,Wizz Air,WIZZ AIR,Hungary
W8,Cargojet Airways,CARGOJET,Canada
W9,Eastwind Airlines,STINGER,United States
WA,Western Airlines,WESTERN,United States
WB,Rwandair Express,RWANDAIR,Rwanda
WC,Islena De Inversiones,,Honduras
WD,DAS Air Cargo,DAIRAIR,Uganda
WE,Centurion Air Cargo,CHALLENGE CARGO,United States
WF,Widerøe,WIDEROE,Norway
WG,Worldways,,Canada
WH,China Northwest Airlines,CHINA NORTHWEST,China
WJ,WebJet Linhas A,WEB-BRASIL,Brazil
WK,Edelweiss Air,EDELWEISS,Switzerland
WL,CheapFlyingInternational,cheapflying,France
WN,Southwest Airlines,SOUTHWEST,United States
WO,World Airways,WORLD,United States
WP,Island Air (WP),,United States
WQ,PanAm World Airways,,United States
WR,WestJet Encore,Encore,Canada
WS,WestJet,WESTJET,Canada
WU,Wizz Air Ukraine,WIZZAIR UKRAINE,Ukraine
WV,Swe Fly,FLYING SWEDE,Sweden
WW,bmibaby,BABY,United Kingdom
WX,CityJet,CITY-IRELAND,Ireland
WY,Oman Air,OMAN AIR,Oman
WZ,Red Wings,AIR RED,Russia
X3,TUIfly,YELLOW CAB,Germany
X5,Fly Romania,TENDER AIR,Romania
X7,Chitaavia,CHITA,Russia
X9,FRA Air,FA,Germany
XA,XAIR USA,XAIR,United States
XB,NEXT Brasil,XB,Brazil
XE,ExpressJet,JET LINK,United States
XF,Vladivostok Air,VLADAIR,Russia
XG,Calima Aviacion,CALIMA,Spain
XJ,Mesaba Airlines,MESABA,United States
XK,Corse-Mediterranee,CORSICA,France
XL,Aerolane,LAN ECUADOR,Ecuador
XM,Alitalia Express,ALIEXPRESS,Italy
XO,LTE International Airways,FUN JET,Spain
XP,Xtra Airways,RUBY MOUNTAIN,United States
XQ,SunExpress,SUNEXPRESS,Turkey
XS,Texas Spirit,,United States
XT,Air Exel,EXEL COMMUTER,Netherlands
XW,Sky Express,SKYSTORM,Russia
XX,Greenfly,,Spain
XY,Nas Air,NAS EXPRESS,Saudi Arabia
Y4,Volaris,VOLARIS,Mexico
Y5,Pace Airlines,PACE,United States
Y8,Yangtze River Express,YANGTZE RIVER,China
Y9,Kish Air,KISHAIR,Iran
YC,Ciel Canadien,Ciel,Canada
YE,Yellowtail,,United States
YL,Yamal Airlines,YAMAL,Russia
YM,Montenegro Airlines,MONTAIR,Montenegro
YO,TransHolding System,,Brazil
YP,Aero Lloyd (YP),,Germany
YS,Régional,REGIONAL EUROPE,France
YT,Air Togo,AIR TOGO,Togo
YV,Mesa Airlines,AIR SHUTTLE,United States
YW,Air Nostrum,AIR NOSTRUM,Spain
YX,Midwest Airlines,,United States
YY,Virginwings,,Germany
YZ,LSM AIRLINES ,Moscow frog ,Russia
Z0,All Argentina Express,,Argentina
Z3,Avient Aviation,AVAVIA,Zimbabwe
Z4,Zoom Airlines,ZOOM,Canada
Z5,INAVIA Internacional,,Argentina
Z6,ZABAIKAL AIRLINES,BAIKAL ,Russia
Z7,ADC Airlines,ADCO,Nigeria
Z8,Amaszonas,,Bolivia
ZA,Interavia Airlines,ASTAIR,Russia
ZB,Monarch Airlines,MONARCH,United Kingdom
ZC,Korongo Airlines,KORONGO,Congo (Kinshasa)
ZE,Lineas Aereas Azteca,LINEAS AZTECA,Mexico
ZG,Viva Macau,JACKPOT,Macao
ZH,Shenzhen Airlines,SHENZHEN AIR,China
ZI,Aigle Azur,AIGLE AZUR,France
ZK,Great Lakes Airlines,LAKES AIR,United States
ZL,Regional Express,REX,Australia
ZM,Apache Air,APACHE,United States
ZN,Zenith International Airline,ZENITH,Thailand
ZP,Zabaykalskii Airlines,Lakeair,Russia
ZQ,Locair,LOCAIR,United States
ZS,Sama Airlines,NAJIM,Saudi Arabia
ZT,Tomp Airlines,,Chile
ZU,Helios Airways,HELIOS,Cyprus
ZV,V Air,,Taiwan
ZW,Air Wisconsin,AIR WISCONSIN,United States
ZX,Japan Regio,,Japan
ZY,Ada Air,ADA AIR,Albania
